Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
AF Global,L38,AFGL.SI,111.898,28.266,,9.43,Cyclical Consumer Services,73
ISDN,I07,ISDN.SI,92.358,290.985,12.45,1.86,Industrial Goods,73
KepPacOakReitUSD,CMOU,KPEL.SI,657.282,122.886,8.81,8.59,Real Estate,72.3
ThaiBev,Y92,TBEV.SI,16953.104,11759.11,15.98,2.55,Food & Beverages,72
GL,B16,GLLI.SI,848.199,489.99,20.65,3.55,Cyclical Consumer Services,72
Hiap Hoe,5JK,HIAP.SI,308.462,132.22,13.84,2.31,Real Estate,72
Rex Intl,5WH,REXI.SI,236.791,0.188,8.6,,Energy - Fossil Fuels,72
Boustead Proj,AVM,BOUS.SI,230.4,281.627,10.13,2.08,Industrial & Commercial Services,72
Hock Lian Seng,J2T,HLSG.SI,156.192,193.491,12.43,3.93,Industrial & Commercial Services,72
United Global,43P,UNIT.SI,131.228,142.804,1.42,2.89,Energy - Fossil Fuels,72
Spura Finance,S23,SBDS.SI,128.536,30.293,17.18,2.47,Banking & Investment Services,72
Mermaid Maritime,DU4,MMPC.SI,104.586,142.589,,,Energy - Fossil Fuels,72
CromwellReit EUR,CNNU,CROM.SI,1073.554,177.046,9.06,9.71,Real Estate,71.3
Boustead,F9D,BTSS.SI,320.043,537.399,12.18,4.69,Industrial & Commercial Services,71
OUE Com Reit,TS0U,OUEC.SI,2161.954,279.728,17.02,7.33,Real Estate,70.8
Lippo Malls Tr,D5IU,LMRT.SI,402.391,272.017,,14.24,Real Estate,70.3
Bukit Sembawang,B61,BSES.SI,1009.754,369.72,13.27,1.03,Real Estate,70
TheHourGlass,AGS,HRGS.SI,479.408,749.451,6.29,4.41,Retailers,70
Stamford Land,H07,SFLD.SI,274.037,195.082,11.31,2.86,Cyclical Consumer Services,70
MM2 Asia,1B0,MM2A.SI,227.91,235.774,64.47,,Cyclical Consumer Services,70
Isetan,I15,ISET.SI,129.938,111.885,,1.59,Retailers,70
Overseas Edu,RQ1,OVER.SI,122.532,82.299,15.53,9.32,Personal & Household Products & Services,70
Maxi-Cash Fin,5UF,MAXI.SI,132.512,218.478,8.93,10.55,Retailers,69
Hanwell,DM0,HANW.SI,117.054,461.107,18.67,1.22,Applied Resources,69
Sinostar Pec,C9Q,SNSR.SI,92.8,682.93,5.74,3.45,Energy - Fossil Fuels,69
EC World Reit,BWCU,ECWO.SI,533.926,98.805,8.75,8.58,Real Estate,68.8
YZJ Shipbldg SGD,BS6,YAZG.SI,3775.373,4100.425,7.07,4.74,Industrial Goods,68
Metro,M01,MTHL.SI,623.661,210.254,19.26,2.67,Retailers,68
OUE,LJ3,OVES.SI,1187.738,930.837,4.61,1.65,Real Estate,67
GSH,BDX,GSHC.SI,405.292,153.709,52.84,1.22,Cyclical Consumer Services,67
UG Healthcare,41A,UGHE.SI,262.764,103.494,128.35,0.19,Healthcare Services,67
Hwa Hong,H19,HWHS.SI,202.586,14.524,31.19,3.23,Real Estate,67
ABR,533,ABRH.SI,116.578,121.133,62.17,2.59,Food & Beverages,67
World Class Gbl,1E6,WORL.SI,109.905,205.44,8.06,,Real Estate,67
Starburst,40D,STAB.SI,95.156,9.244,,0.67,Industrial & Commercial Services,67
Nordic,MR7,NRGL.SI,94,84.627,10.86,3.61,Industrial & Commercial Services,67
Golden Energy,AUE,GOLD.SI,385.908,1562.516,27.82,1.77,Energy - Fossil Fuels,66
Bund Center,BTE,BCIL.SI,372.64,110.347,13.48,2.04,Real Estate,66
Cortina,C41,CORT.SI,195.383,502.601,5.43,1.69,Retailers,66
TeleChoice Intl,T41,TCIN.SI,88.158,313.626,16.6,5.15,Technology Equipment,66
SingHaiyi,5H0,SIHL.SI,292.293,57.169,,,Real Estate,65
SingHoldings,5IC,SHDS.SI,144.358,316.357,3.18,5.14,Real Estate,65
Avarga,U09,AVAR.SI,142.522,1403.873,4.36,3.33,Applied Resources,65
SingMedical,5OT,SMGL.SI,118.34,94.672,8.95,1.63,Healthcare Services,65
SoilbuildBizReit,SV3U,SBSR.SI,505.561,89.883,17.52,,Real Estate,64.5
First Reit,AW9U,FRET.SI,573.676,115.297,12.44,,Real Estate,64.3
Raffles Medical,BSL,RAFG.SI,1710.65,522.038,28.18,2.67,Healthcare Services,64
